id,titulo,url,url_poster,fecha_estreno,sinopsis,usuario,genero
v4vendetta,V for Vendetta,https://www.imdb.com/title/tt0434409/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_v%2520for%2520v,https://m.media-amazon.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@._V1_FMjpg_UX1000_.jpg,2006/03/17,"Historia de un futuro ficticio donde Inglaterra es un estado fascista y totalitario. Evey, una joven proveniente de la clase trabajadora, es rescatada por ""V"", un misterioso enmascarado que busca la destrucción del gobierno cruel y corrupto, y la libertad del pueblo.",KevinMtz,"Accion, Drama, Ciencia Ficción, Thriller"
FantasticMrFox,Fantastic Mr. Fox,https://www.imdb.com/title/tt0432283/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_fantastic%2520mr%2520fox,https://m.media-amazon.com/images/M/MV5BYzdlM2JlMzMtNjYwOC00MGQ0LTliNzMtZDlhMWQ5NWIxN2U4XkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_FMjpg_UX1000_.jpg,2009/12/4,Un zorro no puede resistirse de volver a atacar su granja y luego debe ayudar a su comunidad a sobrevivir a las represalias de los granjeros.,Mazorca,"Animación, Aventura, Comedia, Crimen, Drama, Familia"
robotdreams,Robot Dreams,https://www.imdb.com/title/tt13429870/?ref_=nv_sr_srsg_0_tt_7_nm_1_q_robot," https://m.media-amazon.com/images/M/MV5BOTVlZmQ2NGEtMzNlNy00NTFlLTliMGYtNmZkZDQ2OWQyZThmXkEyXkFqcGdeQXVyNjM0MTI4Mw@@._V1_QL75_UY281_CR17,0,190,281_.jpg ",2024/03/07,Narra las aventuras y desventuras de Perro y Robot en Nueva York durante los años 80.,narak28,"animación, drama, música"
NoManchesFrida2,No manches Frida 2,https://www.imdb.com/title/tt9019352/?ref_=nv_sr_srsg_3_tt_8_nm_0_q_No%2520manches,https://m.media-amazon.com/images/M/MV5BNmU0ZDI1MDctODBiZi00ZTg3LWFiZmUtMmFkMzYyYzc4ZDkxXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_.jpg ,2019/03/15,"A punto de llegar al altar, Lucy se da cuenta de que Zequi sigue siendo un hombre despreocupado e irresponsable. Para que ella lo perdone, Zequi deberá demostrarle que la ama incondicionalmente… con todo y sus alumnos.",MaikyAhoyo,Comedia
SpiderManATSV,Spider-Man: A través del Spider-Verso,https://www.imdb.com/title/tt9362722/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_spiderve,https://m.media-amazon.com/images/M/MV5BODg5YWE0OTQtMGE0My00Y2FmLWI3YWYtMGY5YjUwMjRhM2MzXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_FMjpg_UX1000_.jpg,2023/06/01,"Miles Morales regresa para el próximo capítulo de la saga ganadora de un Oscar, una aventura épica que transportará a Brooklyn a tiempo completo.",jessica,"Animación, Acción, Aventura"
ElSilencioDeLosInocentes,El silencio de los inocentes,https://www.imdb.com/title/tt0102926/mediaviewer/rm3734402304/?ref_=tt_ov_i,https://m.media-amazon.com/images/M/MV5BNDkzYTJjYTctMWY3My00ZmZkLTgyYjgtZjllMDQ5YTM2YTAzXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,1991/02/14,"Una joven del FBI busca la ayuda de un asesino caníbal y manipulador, con el fin de atrapar a otro asesino en serie, un loco que despelleja a sus víctimas.",JDQC,"Crimen, Drama, Suspenso"
Barnyard,La Granja,https://www.imdb.com/title/tt0414853/?ref_=fn_al_tt_3,https://m.media-amazon.com/images/M/MV5BMTU2NDE0ODYyNF5BMl5BanBnXkFtZTcwNjQ3NzAzMQ@@._V1_FMjpg_UX1000_.jpg,2006/10/27,"Otis es una vaca un tanto irresponsable. Eso sí, es la alegría del corral en el que vive, se la pasa haciendo bromas a los demás, cantando y bailando por los rincones del prado. Su actitud provoca constantes corajes a Ben, su padre y quien también está a cargo de mantener el orden en la granja.",Mazorca,"Animación, Aventura, Comedia, Drama, Familia"
RoadHouse,"Drama, suspenso",https://www.imdb.com/video/vi1146603289/?playlistId=tt3359350&ref_=tt_pr_ov_vi,https://www.imdb.com/title/tt3359350/mediaviewer/rm205540609/?ref_=tt_ov_i,2024/03/08,Un ex luchador de peso medio de la UFC acaba trabajando en un bar ruidoso de los Cayos de Florida donde las cosas no son lo que parecen.,ElErminio,"Acción , Suspenso"
ShutterIsland,Shutter Island,https://www.imdb.com/title/tt1130884/?ref_=watch_tpks_tt_t_33_pd_tp1_pbr_ic,https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg ,2010/03/12,"Verano de 1954. Los agentes judiciales Teddy Daniels y Chuck Aule son enviados a una remota isla del puerto de Boston para investigar la desaparición de una peligrosa asesina recluida en el hospital psiquiátrico Ashecliffe, un centro penitenciario para criminales perturbados dirigido por el siniestro doctor John Cawley. Pronto descubrirán que el centro guarda muchos secretos y que la isla esconde algo más peligroso que los pacientes.",T,"	Terror, suspenso, drama, crímenes y misterio"
YourName,Your Name,https://www.imdb.com/title/tt5311514/mediaviewer/rm4024011521/?ref_=tt_ov_i,https://m.media-amazon.com/images/M/MV5BNDBlYmY3MzktMTgyOS00MTAwLTlkZDMtMGUzNDIyNTU2NjcyXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_FMjpg_UX1000_.jpg,2016/08/26,"Dos extraños se encuentran vinculados de una manera extraña, pero, cuando se forma una conexión, ¿será la distancia lo único que los mantendrá separados?",luz,"Animación, Drama, Fantasía "
SpiritedAway,Spirited Away,https://www.imdb.com/title/tt0245429/?ref_=nv_sr_srsg_1_tt_6_nm_1_q_spiri,https://www.imdb.com/title/tt0245429/mediaviewer/rm4207852801/?ref_=tt_ov_i,09/12/03,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",sportela,"Animación, aventura"
3Bodyproblem,3 Body Problem,https://www.imdb.com/title/tt13016388/?ref_=watch_fanfav_tt_i_2,https://www.imdb.com/title/tt13016388/mediaviewer/rm2323531521/?ref_=tt_ov_i,2024/03/21,"Seguirá la historia del primer contacto de la humanidad con una civilización alienígena, viendo cómo la humanidad es vulnerable a la misma amenaza externa.",Nando,"Aventura, Drama, Fantasía"
requiem4adream,Requiem for a Dream,https://www.imdb.com/title/tt0180093/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_requiem%2520,https://m.media-amazon.com/images/M/MV5BOTdiNzJlOWUtNWMwNS00NmFlLWI0YTEtZmI3YjIzZWUyY2Y3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg,2000/05/14,Una viuda se vuelve adicta a píldoras dietéticas mientras su hijo libra su propia batalla con estupefacientes. Darren Aronofsky se sumerge de nuevo en el terreno de lo visceral con esta durísima pero fascinante película en torno a la adicción.,KevinMtz,Drama
gatobotas2,El gato con botas: El último deseo,https://www.imdb.com/title/tt3915174/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_gato%2520con,"https://m.media-amazon.com/images/M/MV5BZjNiMjkzMDItOWNjMy00ODZjLTgwY2UtZTEyODYzNTI2NzI1XkEyXkFqcGdeQXVyMTU5OTA4NTIz._V1_QL75_UY281_CR18,0,190,281_.jpg",2022/12/22,El Gato con Botas descubre que su pasión por la aventura le ha pasado factura: Ha agotado ocho de sus nueve vidas.,narak28,"animación, acción, aventura"
Bodies,Bodies,https://www.imdb.com/title/tt18347622/?ref_=nv_sr_srsg_3_tt_8_nm_0_q_bodies,https://m.media-amazon.com/images/M/MV5BMzdiYzRjZjctZDE0ZC00MGQ4LWEwYzAtZDEyNzJiYzI2YjM2XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_FMjpg_UX1000_.jpg,2023/10/19,Cuatro detectives en cuatro períodos diferentes de Londres se encuentran investigando el mismo asesinato.,fd_x,Ciencia Ficción
TopGun2,Top Gun: Maverick,https://www.imdb.com/title/tt1745960/,https://m.media-amazon.com/images/M/MV5BNTEyYTA5YWYtYmIxYS00NWRlLWExNjMtNjliZmVlZDgxNTBlXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UX1000_.jpg,2022/5/27,"Después de más de treinta años de servicio como uno de los mejores aviadores de la Armada, Pete Mitchell está donde pertenece, forzando los límites como valiente piloto de pruebas y esquivando el avance de rango que lo dejaría en tierra.",fd_x,Aventura
KungFuPanda2,Kung Fu Panda 2,https://www.imdb.com/video/vi1639488793/?playlistId=tt1302011&ref_=tt_ov_vi,https://www.imdb.com/title/tt1302011/mediaviewer/rm804627201/?ref_=tt_ov_i,2011/05/10,"Po y sus amigos luchan para evitar que un malvado pavo real conquiste China con una nueva arma mortal. Pero primero, el Guerrero Dragón debe hacer las paces con su pasado.",ElErminio,Animación
MyNeighborTotoro,My Neighbor Totoro,https://www.imdb.com/title/tt0096283/?ref_=nv_sr_srsg_0_tt_5_nm_3_q_Totoro,https://www.imdb.com/title/tt0096283/mediaviewer/rm4095130625/?ref_=tt_ov_i,1988/04/16,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",sportela,"Animación, Animé"
TheTrumanShow,The Truman Show,https://www.imdb.com/title/tt0120382/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_the%2520truman%2520show,https://m.media-amazon.com/images/M/MV5BMDIzODcyY2EtMmY2MC00ZWVlLTgwMzAtMjQwOWUyNmJjNTYyXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_FMjpg_UX1000_.jpg,1998/10/02,An insurance salesman discovers his whole life is actually a reality TV show.,Mazorca,"Comedia, Drama"
